,markername,incre_new,Coordinate_Value,Primary_Bin,Chromosome,meanQTL_ID,vQTL_ID
957,mmp144a,2066.93,196.9,3.04,3,,
958,mmp36,2073.43,203.4,3.04,3,,
959,IDP94,2075.63,205.6,3.04,3,,
960,IDP2443,2080.43,210.4,3.04,3,,
961,mmc0312a,2082.73,212.7,3.04,3,,
962,umc1908,2083.63,213.6,3.04,3,,
963,npi247,2083.83,213.8,3.04,3,,
964,php20509,2084.73,214.7,3.04,3,,
965,ufg44,2084.93,214.9,3.04,3,,
966,mmp69,2085.63,215.6,3.04,3,,
967,AY109870,2089.53,219.5,3.04,3,,
968,AY107193,2093.03,223,3.04,3,,
969,gpm210,2093.05,223.02,3.04,3,,
970,IDP370,2093.39,223.36,3.04,3,,
971,gpm598,2093.46,223.43,3.04,3,q15,
972,rz382a,2094.13,224.1,3.04,3,q15,
973,bnlg1816,2096.93,226.9,3.04,3,q15,
974,umc2263,2097.83,227.8,3.04,3,q15,
975,umc1504,2098.23,228.2,3.04,3,q15,
976,mmp29,2098.53,228.5,3.04,3,q15,
977,rz244b(d,2100.13,230.1,3.04,3,q15,
978,IDP2431,2101.53,231.5,3.04,3,q15,
979,umc1900,2102.43,232.4,3.04,3,q15,
980,gpm462,2102.66,232.63,3.04,3,q15,
981,umc1223,2104.43,234.4,3.04,3,q15,
982,gpm236,2106.02,235.99,3.04,3,q15,
983,gpm509,2106.67,236.64,3.04,3,q15,
984,gpm267,2107.77,237.74,3.04,3,q15,
985,AY110403,2108.13,238.1,3.04,3,,
986,gpm766,2109.71,239.68,3.04,3,,
987,chr110a,2109.97,239.94,3.04,3,,
988,gpm848a,2110.11,240.08,3.04,3,,
989,gpm639,2110.33,240.3,3.04,3,,
990,AY110297,2114.73,244.7,3.04,3,,
991,IDP2576a,2117.37,247.34,3.04,3,,
992,IDP3771,2117.53,247.5,3.04,3,,
993,IDP2435,2117.76,247.73,3.04,3,,
994,umc1968,2120.43,250.4,3.04,3,,
995,AY111333,2122.57,252.54,3.04,3,,
996,AY110151,2124.63,254.6,3.04,3,,
997,umc1920,2128.43,258.4,3.04,3,,
998,php20511,2130.33,260.3,3.04,3,,
999,umc2264,2131.13,261.1,3.04,3,,
1000,umc1449,2139.43,269.4,3.04,3,,q14
1001,gpm515b,2143.48,273.45,3.04,3,,q14
1002,hac101a,2146.63,276.6,3.04,3,,q14
1003,umc1527,2149.33,279.3,3.04,3,,q14
1004,umc1773,2150.43,280.4,3.04,3,,q14
1005,psr628,2150.63,280.6,3.04,3,,q14
1006,jpsb527a,2153.93,283.9,3.04,3,,q14
1007,gpm835e,2156.26,286.23,3.04,3,,q14
1008,IDP1693,2158.96,288.93,3.04,3,,q14
1009,umc2002,2160.63,290.6,3.04,3,,q14
1010,IDP685,2161.53,291.5,3.04,3,,q14
1011,IDP288,2162.9,292.87,3.04,3,,q14
1012,gpm150a,2163.32,293.29,3.04,3,,q14
1013,gpm332,2165.42,295.39,3.04,3,,q14
1014,gpm542a,2166.02,295.99,3.04,3,,
1015,umc102a,2167.93,297.9,3.05,3,,
1016,umc1174,2169.23,299.2,3.05,3,,
1017,umc1600,2171.03,301,3.05,3,,
1018,IDP869,2171.1,301.07,3.05,3,,
1019,mmp80,2173.73,303.7,3.05,3,,
1020,IDP138,2175.2,305.17,3.05,3,,
1021,umc1693a,2175.83,305.8,3.05,3,,
1022,bnlg1601,2176.13,306.1,3.05,3,q16,
1023,gpm829,2176.75,306.72,3.05,3,q16,
1024,IDP1698,2177.2,307.17,3.05,3,q16,
1025,IDP1433,2177.79,307.76,3.05,3,q16,
1026,gpm158,2177.9,307.87,3.05,3,q16,
1027,rz296b,2179.53,309.5,3.05,3,q16,
1028,gpm297,2181.77,311.74,3.05,3,q16,
1029,gpm140,2181.89,311.86,3.05,3,,
1030,gpm28b,2182.01,311.98,3.05,3,,
1031,gpm215,2182.71,312.68,3.05,3,,
1032,gpm859,2182.72,312.68,3.05,3,,
1033,chr109b,2182.84,312.8,3.05,3,,
1034,umc1102,2182.85,312.8,3.05,3,,
1035,gpm628,2182.99,312.94,3.05,3,,
1036,gpm271,2183,312.94,3.05,3,,
1037,bnlg1035,2183.46,313.4,3.05,3,,
1038,AY110352,2185.46,315.4,3.05,3,,
1039,gpm110,2185.47,315.4,3.05,3,,
1040,mmc0022,2188.27,318.2,3.05,3,q17,
1041,php20508,2188.47,318.4,3.05,3,q17,
1042,umc1167,2189.27,319.2,3.05,3,q17,
1043,gpm24,2194.59,324.52,3.05,3,q17,
1044,gpm847,2194.6,324.52,3.05,3,q17,
1045,IDP4031,2195.19,325.11,3.05,3,q17,
1046,umc1501,2195.48,325.4,3.05,3,q17,
1047,IDP474,2195.49,325.4,3.05,3,q17,
1048,AY112215,2196.29,326.2,3.05,3,q17,
1049,IDP3883,2196.77,326.68,3.05,3,,
